Fighter,Wins,Losses,Stance,Weight Class,Total Rounds Fought,Title fights,KOs,Submissions,TKO/DoctorStoppage,age,Gender,Height,Weight,Reach,WinRate
Melsik Baghdasaryan,3,1,Southpaw,Featherweight,10,0,1,0,0,31,MALE,175.26,145,177.8,0.75
Nick Maximov,3,1,Southpaw,Middleweight,10,0,0,0,0,24,MALE,182.88,185,193.04,0.75
James Moontasri,2,3,Switch,Welterweight,10,0,1,1,0,28,MALE,177.8,170,180.34,0.4
Pablo Garza,3,2,Orthodox,Featherweight,10,0,1,1,0,29,MALE,185.42,145,185.42,0.6
Paddy Holohan,3,1,Orthodox,Flyweight,10,0,0,1,0,27,MALE,177.8,125,175.26,0.75
Paddy Pimblett,5,0,Orthodox,Lightweight,10,0,1,2,0,29,MALE,177.8,155,185.42,1.0
Azamat Murzakanov,4,0,Southpaw,Light Heavyweight,10,0,3,0,0,35,MALE,177.8,205,180.34,1.0
Kj Noons,2,3,Orthodox,Welterweight,10,0,1,0,0,33,MALE,177.8,155,182.88,0.4
Mateusz Rebecki,4,1,Southpaw,Catch Weight,10,0,1,2,0,31,MALE,170.18,155,167.64,0.8
Stephanie Egger,3,3,Orthodox,Women's Bantamweight,10,0,1,2,0,35,FEMALE,167.64,135,172.72,0.5
Bruna Brasil,2,2,Orthodox,Women's Strawweight,10,0,1,0,0,30,FEMALE,167.64,115,165.1,0.5
Dominique Steele,1,3,Orthodox,Welterweight,10,0,1,0,0,29,MALE,177.8,170,187.96,0.25
Umar Nurmagomedov,5,0,Orthodox,Bantamweight,10,0,1,2,0,28,MALE,172.72,135,175.26,1.0
Mike De La Torre,2,4,Orthodox,Featherweight,10,0,1,0,0,30,MALE,180.34,145,180.34,0.333
Nick Osipczak,2,2,Orthodox,Welterweight,10,0,1,1,0,25,MALE,187.96,170,193.04,0.5
Maria Oliveira,1,3,Orthodox,Women's Strawweight,10,0,0,0,0,26,FEMALE,167.64,115,175.26,0.25
John Phillips,1,4,Southpaw,Middleweight,10,0,1,0,0,35,MALE,180.34,185,190.5,0.2
Sergey Morozov,2,2,Orthodox,Bantamweight,10,0,0,0,0,33,MALE,167.64,135,170.18,0.5
Tagir Ulanbekov,3,1,Southpaw,Flyweight,10,0,0,1,0,32,MALE,170.18,125,177.8,0.75
Benito Lopez,3,1,Switch,Bantamweight,10,0,0,0,0,28,MALE,177.8,135,185.42,0.75
Johnny Bedford,2,3,Orthodox,Bantamweight,10,0,2,0,0,31,MALE,177.8,135,180.34,0.4
Ryan Jensen,2,5,Orthodox,Middleweight,10,0,0,2,0,33,MALE,185.42,185,193.04,0.286
Farid Basharat,4,0,Orthodox,Featherweight,10,0,0,1,0,27,MALE,172.72,135,180.34,1.0
